"PMID","Title","Abstract","ISSN","Journal","Location","Year","FirstAuthorForename","FirstAuthorLastname","FirstAuthorInitials","FirstAuthorAffiliation"
10575721,"[Computer-assisted preoperative planning of knee replacement arthroplasty].","The general configuration of replaced knee is difficult to anticipate because of the large number of geometrical parameters related to morphology, prosthetic implants and pre-operative choices (such as ligament release). This article features the studies achieved in order to create a decision aiding computer tool dedicated to total knee prosthesis. METHOD AND MODEL: We have built a geometrical modelling of the physiological knee and prosthesis elements association. A numerical processing through biomechanical laws permitted to simulate the geometrical and mechanical behaviour of the whole for different flexing angle.","0035-1040","Revue de chirurgie orthopedique et reparatrice de l'appareil moteur","(85) 591-600",1999,"E","Nerkowski","E","Equipe B2M, ENSAM, Aix-en-Provence."
10617805,"[Urogenital amyloidosis: clinico-pathological study of 8 cases].","Amyloidosis of the genito-urinary tract is uncommon. We report 8 cases, often misdiagnosed as a neoplastic process (6/8). Amyloidosis was localized in the bladder (3 cases), in the ureter (1 case) and in the prostate and/or seminal vesicles (4 cases). The amyloid protein was characterized in 7 cases by immunohistochemistry. Among the bladder and ureter amyloidosis, 2 cases were classified as AL lambda amyloidosis and one case as AA amyloidosis in a patient with long history of chronic arthritis. In the fourth case, the deposits could not be identified. Nevertheless an AL amyloidosis might be suggested. Two cases of prostate and/or seminal vesicles amyloidosis were stained with an anti-B2M antibody, in hemodialyzed patients. The 2 others, positive with the anti-Transthyretina antibody, were classified as senile amyloidosis. This small series illustrated the heterogeneous pathogenic types of amyloidosis in the urogenital tract and emphasized the interest of immunohistochemistry to identify the chemical composition of these deposits.","0242-6498","Annales de pathologie","(19) 487-91",1999,"M","Esslimani","M","Service d'Anatomie Pathologique, Hôpital Gui de Chauliac, 34295 Montpellier Cedex 5."
10656443,"Serum beta-2 microglobulin levels are a significant prognostic factor in Philadelphia chromosome-positive chronic myelogenous leukemia.","Our objective was to investigate the prognostic significance of serum beta-2 microglobulin (B2M) levels among patients with chronic myelogenous leukemia (CML). All patients with Philadelphia chromosome-positive early chronic phase CML (i.e., within 1 year of diagnosis) treated with IFN alpha-based therapy at the M. D. Anderson Cancer Center between 1980 and 1997, in whom pretreatment B2M levels were available, were investigated. Two hundred one patients were evaluable. Their median B2M was 2.2 mg/dl (range, 1.1-20 mg/dl). Serum B2M levels were associated with other variables of prognostic significance, including age, spleen size, WBC count, percentage of peripheral and marrow blasts, and percentage of marrow basophils. Patients with B2M levels >2.9 mg/dl (ie., the upper quartile of the distribution) had a significantly lower rate of major cytogenetic response compared to those in the lower three quartiles (20 versus 52%; P < 0.01). They also had a shorter survival, with a 5-year survival rate of 48%, compared with 75% for those in the lower quartiles (P = 0.01). High B2M levels (>2.9 mg/dl) could identify a group of patients with an adverse outcome within patients in stage I disease (P = 0.02). Results for patients in stages 2-4 were inconclusive because of the small number of patients in these groups. We conclude that serum B2M levels are an important, and probably independent, prognostic factor for patients with CML in early chronic phase treated with IFN-based therapy.","1078-0432","Clinical cancer research : an official journal of the American Association for Cancer Research","(6) 147-52",2000,"J","Rodriguez","J","Department of Leukemia, University of Texas M.D. Anderson Cancer Center, Houston 77030, USA."
10790290,"Exposure of Daudi cells to low-frequency magnetic fields does not elevate MYC steady-state mRNA levels.","The effect of extremely low-frequency electromagnetic field (ELF EMF) exposures to human health has been widely debated. Epidemiological studies have found a possible correlation between increased cancer incidence and environmental ELF EMF exposures. Results from in vitro studies performed to examine the possible underlying bioeffects of ELF EMFs have varied greatly. Reported effects range from robust and reproducible effects to undetectable. In this study, Daudi cells were exposed to 60 Hz magnetic fields for 20, 40 or 60 min at flux densities of 12.5, 50, 100 or 500 microT. Exposures were performed in the Regional ELF-EMF Exposure Facility (Rockville, MD) to minimize variables that might contribute to a false positive effect. Exposures included sham/sham, exposed/sham or sham/exposed, and were performed with blinding with respect to type of exposure. 12-O-Tetradecanoylphorbol-13-acetate (TPA) treatment was used as a positive control. Total cellular RNA was isolated using a single-step technique. Human MYC expression was measured by northern blot hybridization as an indicator of the responsiveness of Daudi cells to experimental conditions. Beta-2-microglobulin (B2M) expression was measured simultaneously as an internal control. Exposure to a 60 Hz magnetic field did not significantly alter MYC expression in Daudi cells under any of the exposure conditions.","0033-7587","Radiation research","(153) 663-9",2000,"C A","Morehouse","CA","FDA Center for Devices and Radiological Health, Rockville, Maryland 20850, USA."
10793017,"Effects of dialyzer reuse on the permeability of low-flux membranes.","Little attention has been given to the effects of reuse on the permeability of low-flux membranes, especially regarding middle molecules. We studied two different types of low-flux membranes at reuses 0, 6, and 12 in five patients undergoing hemodialysis with the following combinations of membrane and sterilant: cellulose diacetate membrane and formaldehyde, polysulfone membrane and formaldehyde, cellulose diacetate membrane and peracetic acid, and polysulfone and peracetic acid. The permeability of the membranes was assessed through the hydraulic ultrafiltration coefficient (K(UF)), sieving coefficient for beta(2)-microglobulin (B2M), and vitamin B(12) and albumin concentrations in ultrafiltrate. After 12 reuses, total cell volume (TCV) tended to be reduced in both cellulose diacetate and polysulfone dialyzers irrespective of the sterilant used, but significance was only found for the first set of dialyzers. Cellulose diacetate dialyzers reprocessed with either formaldehyde or peracetic acid showed an important reduction in K(UF) (31% [P < 0.05] and 23% [P < 0.05], respectively). A significant elevation in K(UF) was found in polysulfone membranes reprocessed with peracetic acid (41%; P < 0.05), but no alterations in K(UF) were found in polysulfone membranes reprocessed with formaldehyde. Cellulose diacetate membranes were intrinsically more permeable to B2M than polysulfone membranes (sieving coefficient, 6. 85 +/- 2.53 versus 0.04 +/- 0.02 x 10(-2); P < 0.001), which was not modified by any of the sterilants. Vitamin B(12) levels in ultrafiltrate decreased to an undetectable level in four of five samples collected after 12 reuses in polysulfone membranes reprocessed with peracetic acid (90 +/- 71 to 3 +/- 8 pg/mL; P < 0. 05 versus reuse 0). Albumin leakage occurred in two of five samples after the 12th reuse, but only in polysulfone membranes reprocessed with peracetic acid. Our findings suggest that reuse of low-flux polysulfone dialyzers reprocessed with peracetic acid is associated with structural damage of the membrane and a reduced permeability to middle molecules.","1523-6838","American journal of kidney diseases : the official journal of the National Kidney Foundation","(35) 839-44",2000,"J P","Matos","JP","Department of Internal Medicine, Division of Nephrology, and Department of Pathology, Universidade Federal Fluminense, Niterói, Rio de Janeiro, Brazil."
10848778,"Prognostic value of serum markers of bone metabolism in untreated multiple myeloma patients.","Bone involvement is a central feature of multiple myeloma (MM). We investigated whether serum markers of osteoblastic and osteoclastic activity correlate with the presence of bone disease and survival in 313 MM patients enrolled in a phase III trial (E9486). Five markers were measured, including osteocalcin (OC), carboxy-terminal propeptide of type I collagen (PICP), bone alkaline phosphatase (BAP), carboxy-terminal telopeptide of type I collagen (ICTP) and tartrate-resistant acid phosphatase (TRAP). We analysed the relationship between serum levels of these markers and the presence of bone manifestations, and survival. Serum levels of ICTP and BAP correlated significantly with bone pain, lesions and fractures. Serum level of ICTP was also higher in stage II-III compared with stage I disease. The serum level of ICTP was significantly associated with shortened survival in the univariate analysis. The median survival times were 4.1 and 3.5 years for low and high ICTP respectively (P = 0.02). There was a strong relationship between ICTP and beta-2-micrgolobulin (B2M). ICTP stands out as a significant marker of bone disease. Incorporation of these markers into clinical trials assessing the use of bisphosphonates in MM is needed to determine whether they might serve as indicators of effectiveness of these agents.","0007-1048","British journal of haematology","(109) 24-9",2000,"R","Fonseca","R","Department of Pathology and Laboratory Medicine, Rochester, MN 55905, USA."
10879242,"Comparison of alpha-fetoprotein with some other tumour markers in Malaysians with hepatocellular carcinoma.","Although alpha-fetoprotein (AFP) is regarded as the reference marker for hepatocellular carcinoma (HCC), it sometimes produces false results. The objective of this study was to see if some of the readily available laboratory markers could complement AFP to improve the laboratory diagnosis of HCC. The markers tested and their sensitivities were: CA 125, 92%; ferritin, 71.3%; CA 19-9, 69.8%; beta-2-microglobulin (B2M), 53.3%; CA 72-4, 13.6%; and carcinoembryonic antigen (CEA), 10.6%. In comparison, AFP had a sensitivity of 58.8%. CA 72-4 and CEA (at the ""tumour"" cut-off level of 20 ng/ml) had specificities of 100%, and AFP, 97.4%. The specificities of the other markers were less impressive: CEA, 77.8% (at the cut-off level of 5 ng/ml); ferritin, 48.6%; CA 125, 48.5%; B2M, 39.6%; and CA 19-9, 37.3%. The efficiencies of the markers for HCC, which are based on the consideration of sensitivity and specificity together, were as follows: AFP, 77.6%; CA 125, 71.3%; ferritin, 60.5%; CA 19-9, 55.3; B2M, 46.9%; CEA, 40.8%; and CA 72-4, 34.5%. The receiver-operating characteristic plots confirmed AFP to be the most efficient marker for HCC. Nevertheless, it is proposed that CA 125 be combined with AFP for HCC screening because of their excellent sensitivity and specificity, respectively: a negative result for both, or even just CA 125 alone, would indicate that the disease is unlikely while a positive AFP (which would likely occur with a positive CA 125) would make its presence highly probable. A positive CA 125 and negative AFP would be equivocal for HCC. Other markers in combination with AFP are less useful.","0126-8635","The Malaysian journal of pathology","(19) 53-8",1997,"J B","Lopez","JB","Division of Endocrinology, University of Malaya, Kuala Lumpur."
10951865,"[Relation of the soluble cytoadhesion molecules VCAM-1 and ICAM-1 to selected clinical and laboratory indicators in multiple myeloma].","Hitherto conducted studies concerned with the problem of cytoadhesive molecules (CAM) dealt only in a very limited way with the problem of multiple myeloma (MM). The subject of the submitted paper was evaluation of the relationship of soluble forms of ""vascular cell adhesive molecule-1"" (sVCAM-1) and ""intercellular cell adhesion molecule-1"" (sICAM-1) in serum from the peripheral bloodstream (PBS) and serum from a bone marrow aspirate (BMA) with selected clinical and laboratory indicators of MM (beta 2-microglobulin, thymidine kinase, immunochemical type of MM, S-creatinine, S-monoclonal immunoglobulin, S-albumin, Hb, percentage ratio of plasmocytes in bone marrow, age, performance status, stage and substage of MM and activity of disease) and proliferation characteristics of myeloma plasmocytes. The authors analyzed two groups of patients with MM, a group of 64 examined in different stages of MM and a group of 39 examined when the diagnosis of MM was established (median age 63 and 64 years, male/female ratio 1.6 and 1.3:1). The sVCAM-1 and sICAM-1 levels were examined by the ELISA method. Elevated values of sVCAM-1 in PBS were recorded in both groups in 87.5% and 87% patients, medians of sVCAM-1 exceeded the upper range of normal values (714 ng/ml) almost twice (1180 and 1295 ng/ml) whereby median values in BMA (1347 and 1546 ng/ml) were always somewhat higher than in PBS. Elevated sICAM-1 values in PBS were found in 35 and 33% patients, median levels of sICAM-1 in PBS and in BMA did not exceed the upper normal range (691 ng/ml) and did not differ substantially (518 vs. 476 and 518 vs. 500 ng/ml). Correlation analysis (Pearson's correlation coefficient and Mann-Whitney's test, p0.05) revealed in both groups a significant relationship of both CAM assessed in PBS and BMA (sVCAM-1 p-0.0000 and p-0.012, sICAM-1 p-0.0000 and p-0.0011). No relationship was found between sVCAM-1 and s-ICAM-1 levels assessed in PBS and BMA with proliferation indexes of myeloma plasmocytes, i.e. values of the propidium-iodide index PI/CD38 and PI/B-B4 (CD138). In the whole group of 64 patients a relationship was found between sVCAM-1 in PBS and values of S-creatinine (p - 0.004), Hb (p - 0.033), S-albumin (p - 0.035), S-beta 2-microglobulin (S-B2M) (p - 0.0000) and S-thymidine kinase (S-TK)(p-0.0000), when evaluating BMA, a relationship with B2M (p -0.011). In the group of 39 patients examined when the diagnosis of MM was made a relationship was found of sVCAM-1 in PBS to S-B2M) (p - 0.0000), S-TK (p-0.0000) and to S-creatinine (p -0.005), in BMA there was only a relationship with B2M (p - 0.020). In the whole group of 64 patients there was no relationship between s-ICAM levels in PBS with any of the examined indicators, when evaluating BMA only a relationship with B2M (p - 0.038) and TK (p - 0.022). In the group of 39 patients examined during the diagnosis of MM a relationship was found of sICAM-1 only with B2M in BMA (p - 0.013). In the total group of 64 a relationship was found between sVCAM-1 in PBS with the patient's age (p - 0.032) and the substage of MM(p-0.024), in the group of 39 patients a relationship between sVCAM on PBS and the substage of MM (p -0.031). On analysis of sICAM-1 a relationship was found between levels in BMA only with the patient's age (p -0.015). From the investigation ensued that despite evidence of a number of correlations between sVCAM and sICAM-1 levels and clinical and laboratory indicators of MM no relationship was found which could be applied under conditions of clinical practice. Assessment of levels of different indicators in serum of bone marrow aspirate did not reveal any advantages over examination in peripheral blood serum.","0042-773X","Vnitrni lekarstvi","(45) 583-90",1999,"V","Scudla","V","III. interní klinika LF UP a FN, Olomouc."
11148456,"Pathogenesis of beta2-microglobulin amyloidosis.","Hemodialysis-related amyloidosis is a relatively new form of systemic amyloidosis, with beta2-microglobulin (B2M) being identified as the major constituent protein. Most of the clinical findings are related to amyloid deposition in osseo-articular tissues. B2M amyloid deposits first appear in the cervical intervertebral discs, which are well known to be susceptible to mechanical stress. A close relationship between changes of microenvironment caused by such stress and amyloid deposition is highly suggested. In advanced cases, an inflammatory reaction composed of macrophages, multinucleated giant cells, and granulation tissue, is observed around the amyloid deposits. Purified amyloid protein is native B2M, and mutations and proteolysis are not believed to be important for its deposition. Plasma levels of B2M are elevated as much as 5-10 times because of the inability of hemodialysis equipment removal of B2M from blood plasma, the duration being very important for B2M amyloid fibrillogenesis. Heparan sulfate proteoglycans, perlecan, is increased at the same sites of amyloid deposits from the early stages. In B2M amyloidosis, an increase of heparan sulfate proteoglycans is observed in the vascular wall and synovium, but in the discs, ligaments and cartilage, there is an increase of chondroitin sulfate proteoglycans predominantly. B2M has an affinity for heparan sulfate proteoglycans, although it is weaker than that for laminin and type IV collagen. This is related to the interactions between negative charges of sulfate groups of proteoglycans and positive charges of basic amino acids in N-terminal side of B2M. Increased cytokines production in the synovium, induced by advanced glycation end products as well as elevated plasma levels, is also linked to inflammatory reactions. Increased expression of matrix metalloproteinases (MMP), especially MMP-1 and -9, is related to the destructive changes of the bone and cartilage. The decrease of plasma levels by high flux membrane and control of inflammatory reactions are very important for prevention of B2M amyloidosis.","1320-5463","Pathology international","(51) 1-10",2001,"K","Ohashi","K","Department of Pathology, Tokyo Metropolitan Komagome Hospital, 3-18-22, Honkomagome, Bunkyo-ku, Tokyo 113-0021, Japan. ohashi.k-k@komagome-hospital.bunkyo.tokyo.jp"
11261557,"Genetic variation among chicken lines and mammalian species in specific genes.","Thirteen gene-specific primer sets provided by the U.S. Poultry Genome Coordinators were used to investigate DNA polymorphisms between two highly inbred chicken lines of Leghorn and Fayoumi origin. Nucleotide and predicted amino acid sequences were then compared among these chicken lines and the Genbank sequences of chicken, mouse, and human. The following genes were selected as candidates for immune response or transcription activation: B2M, DAD1, IAP1, IL2, IREB1, LAP18, MAFL, POU1F1, RREB1, TAD, TBP1, TCRG, and ZOV3. Total cDNA was obtained from the spleens of Leghorn and Fayoumi lines by reverse transcriptase-polymerase chain reaction (PCR) and was used as a template to PCR-amplify gene-specific products. All primers except POU1F1 and TCRG generated single PCR products of the predicted 325- to 667-bp size, confirming the efficacy of these gene-specific primers in the chicken. Three and seven of the 11 amplified gene fragments yielded line-specific nucleotide polymorphisms between the Leghorn and Fayoumi sequences and between the Leghorn and Genbank chicken sequences respectively. Similarities between inbred Leghorn and mammalian species were 36 to 86% for nucleotides and 25 to 96% for predicted amino acid sequence. The polymorphisms of some gene fragments between the Leghorn and Fayoumi lines will allow for investigation of associations of these genes with immune response and other biological traits.","0032-5791","Poultry science","(80) 284-8",2001,"H","Zhou","H","Department of Animal Science, Iowa State University, Ames 50011-3150, USA."
