"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
10575721,1,"E","Nerkowski","E","Equipe B2M, ENSAM, Aix-en-Provence."
10575721,2,"P","Calas","P",""
10575721,3,"A","Mouttet","A",""
10617805,1,"M","Esslimani","M","Service d'Anatomie Pathologique, Hôpital Gui de Chauliac, 34295 Montpellier Cedex 5."
10617805,2,"I","Serre","I",""
10617805,3,"M","Granier","M",""
10617805,4,"M","Robert","M",""
10617805,5,"P","Baldet","P",""
10617805,6,"V","Costes","V",""
10656443,1,"J","Rodriguez","J","Department of Leukemia, University of Texas M.D. Anderson Cancer Center, Houston 77030, USA."
10656443,2,"J","Cortes","J",""
10656443,3,"M","Talpaz","M",""
10656443,4,"S","O'Brien","S",""
10656443,5,"T L","Smith","TL",""
10656443,6,"M B","Rios","MB",""
10656443,7,"H","Kantarjian","H",""
10790290,1,"C A","Morehouse","CA","FDA Center for Devices and Radiological Health, Rockville, Maryland 20850, USA."
10790290,2,"R D","Owen","RD",""
10793017,1,"J P","Matos","JP","Department of Internal Medicine, Division of Nephrology, and Department of Pathology, Universidade Federal Fluminense, Niterói, Rio de Janeiro, Brazil."
10793017,2,"M B","André","MB",""
10793017,3,"S M","Rembold","SM",""
10793017,4,"F E","Caldeira","FE",""
10793017,5,"J R","Lugon","JR",""
10848778,1,"R","Fonseca","R","Department of Pathology and Laboratory Medicine, Rochester, MN 55905, USA."
10848778,2,"M C","Trendle","MC",""
10848778,3,"T","Leong","T",""
10848778,4,"R A","Kyle","RA",""
10848778,5,"M M","Oken","MM",""
10848778,6,"N E","Kay","NE",""
10848778,7,"B","Van Ness","B",""
10848778,8,"P R","Greipp","PR",""
10879242,1,"J B","Lopez","JB","Division of Endocrinology, University of Malaya, Kuala Lumpur."
10879242,2,"M","Balasegaram","M",""
10879242,3,"J","Timor","J",""
10879242,4,"V","Thambyrajah","V",""
10951865,1,"V","Scudla","V","III. interní klinika LF UP a FN, Olomouc."
10951865,2,"M","Budíková","M",""
10951865,3,"J","Bacovský","J",""
10951865,4,"M","Ordeltová","M",""
10951865,5,"D","Opíchalová","D",""
10951865,6,"V","Heincová","V",""
11148456,1,"K","Ohashi","K","Department of Pathology, Tokyo Metropolitan Komagome Hospital, 3-18-22, Honkomagome, Bunkyo-ku, Tokyo 113-0021, Japan. ohashi.k-k@komagome-hospital.bunkyo.tokyo.jp"
11261557,1,"H","Zhou","H","Department of Animal Science, Iowa State University, Ames 50011-3150, USA."
11261557,2,"W","Liu","W",""
11261557,3,"S J","Lamont","SJ",""
11541726,1,"J E","Dickens","JE","Five College Radio Astronomy Observatory, University of Massachusetts, Amherst 01003, USA. dickens@fcrao1.phast.umass.edu"
11541726,2,"W M","Irvine","WM",""
11541726,3,"M","Ohishi","M",""
11541726,4,"M","Ikeda","M",""
11541726,5,"S","Ishikawa","S",""
11541726,6,"A","Nummelin","A",""
11541726,7,"A","Hjalmarson","A",""
11710195,1,"N","Korolev","N","Division of Physical Chemistry, Arrhenius Laboratory, Stockholm University, S-106 91, Stockholm, Sweden. korolev@physc.su.se"
11710195,2,"L","Nordenskiöld","L",""
11756781,1,"Sharon L","Mount","SL","Division of Anatomic Pathology, Department of Pathology, University of Vermont/Fletcher Allen Health Care, Burlington, Vermont 05405, USA. Sharon.mount@vtmednet.org"
11756781,2,"Gamal H","Eltabbakh","GH",""
11756781,3,"Nicholas J","Hardin","NJ",""
11827948,1,"Peter D","Lee","PD","Montreal Genome Centre, McGill University Health Centre, Montreal H3G 1A4, Quebec, Canada."
11827948,2,"Robert","Sladek","R",""
11827948,3,"Celia M T","Greenwood","CM",""
11827948,4,"Thomas J","Hudson","TJ",""
11841419,1,"Guido","Tricot","G","The Myeloma and Transplantation Research Center and the Division of Biometry, University of Arkansas for Medical Sciences, Little Rock, AR 72205, USA. TricotGuidoJ@uams.edu"
11841419,2,"Trey","Spencer","T",""
11841419,3,"Jeffrey","Sawyer","J",""
11841419,4,"Dan","Spoon","D",""
11841419,5,"Raman","Desikan","R",""
11841419,6,"Athanasios","Fassas","A",""
11841419,7,"Ashraf","Badros","A",""
11841419,8,"Maurizio","Zangari","M",""
11841419,9,"Nikhil","Munshi","N",""
11841419,10,"Elias","Anaissie","E",""
11841419,11,"Amir","Toor","A",""
11841419,12,"Bart","Barlogie","B",""
11864226,1,"José Luis","Bedini","JL","Laboratory of Clinical Biochemistry."
11864226,2,"Felipe","García","F",""
11864226,3,"José M.","Miró","JM",""
11864226,4,"Esther","Aznar","E",""
11864226,5,"Jaume","Serrano","J",""
11864226,6,"Luisa","Lozano","L",""
11864226,7,"Josep","Mallolas","J",""
11864226,8,"Xavier","Filella","X",""
11864226,9,"Josep","Vidal","J",""
11864226,10,"Xavier","Latorre","X",""
11864226,11,"José M.","Gatell","JM",""
11864226,12,"Antonio M.","Ballesta","AM",""
11864226,13,"Eladio","Soriano","E",""
12181184,1,"Torben","Moos","T","Department of Medical Anatomy, University of Copenhagen, DK-2200 Copenhagen, Denmark. T.Moos@mai.ku.dk"
12181184,2,"Debbie","Trinder","D",""
12181184,3,"Evan H","Morgan","EH",""
12200701,1,"P","Moreau","P","Department of Hematology, University Hospital, Nantes, France."
12200701,2,"R","Misbahi","R",""
12200701,3,"N","Milpied","N",""
12200701,4,"N","Morineau","N",""
12200701,5,"B","Mahé","B",""
12200701,6,"M","Vigier","M",""
12200701,7,"M J","Rapp","MJ",""
12200701,8,"R","Bataille","R",""
12200701,9,"J L","Harousseau","JL",""
12218113,1,"Avital","Lev","A","Faculty of Biology, Technion-Israel Institute of Technology, Haifa, Israel."
12218113,2,"Hila","Novak","H",""
12218113,3,"Dina","Segal","D",""
12218113,4,"Yoram","Reiter","Y",""
12232763,1,"D M","Lillington","DM","Cancer Research UK, Department of Medical Oncology, St Bartholomew's and the Royal London NHS Trust, London, EC1M 6BQ, UK. D.Lillington@cancer.org.uk"
12232763,2,"L K","Goff","LK",""
12232763,3,"J E","Kingston","JE",""
12232763,4,"Z","Onadim","Z",""
12232763,5,"E","Price","E",""
12232763,6,"P","Domizio","P",""
12232763,7,"B D","Young","BD",""
12401828,1,"D","Barbaric","D","Molecular Oncology Laboratory, Oncology Research Unit, The Children's Hospital at Westmead, Locked Bag 4001, Westmead 2145, NSW, Australia."
12401828,2,"L","Dalla-Pozza","L",""
12401828,3,"J A","Byrne","JA",""
12464555,1,"H","Zhang","H","Institute of Medical Science, University of Toronto, Room 7213 Medical Science Building, 1 King's College Circle, Toronto, Ontario, Canada M5S 1A8."
12464555,2,"C C","Liew","CC",""
12464555,3,"K W","Marshall","KW",""
12738677,1,"Simona","Gatto","S","M. D. Anderson Cancer Center, 1515 Holcombe Blvd, Box 428, Houston, TX 77030, USA. mberan@mdanderson.org"
12738677,2,"Greg","Ball","G",""
12738677,3,"Francesco","Onida","F",""
12738677,4,"Hagop M","Kantarjian","HM",""
12738677,5,"Elihu H","Estey","EH",""
12738677,6,"Miloslav","Beran","M",""
12759931,1,"Christopher R E","McEvoy","CR","Department of Haematology and Genetic Pathology, Flinders Medical Centre and Flinders University of South Australia, Bedford Park, Australia. chris.mcevoy@flinders.edu.au"
12759931,2,"Alexander A","Morley","AA",""
12759931,3,"Frank A","Firgaira","FA",""
14562124,1,"E","Beillard","E","Department of Hematological Biology, Institute Paoli Calmettes, Marseille, France."
14562124,2,"N","Pallisgaard","N",""
14562124,3,"V H J","van der Velden","VH",""
14562124,4,"W","Bi","W",""
14562124,5,"R","Dee","R",""
14562124,6,"E","van der Schoot","E",""
14562124,7,"E","Delabesse","E",""
14562124,8,"E","Macintyre","E",""
14562124,9,"E","Gottardi","E",""
14562124,10,"G","Saglio","G",""
14562124,11,"F","Watzinger","F",""
14562124,12,"T","Lion","T",""
14562124,13,"J J M","van Dongen","JJ",""
14562124,14,"P","Hokland","P",""
14562124,15,"J","Gabert","J",""
14629804,1,"George T","John","GT","Department of Nephrology, Christian Medical College and Hospital, Vellore 632 004, Tamil Nadu, India."
14629804,2,"Jude Joseph","Fleming","JJ",""
14629804,3,"Girish S","Talaulikar","GS",""
14629804,4,"R","Selvakumar","R",""
14629804,5,"Paaulose P","Thomas","PP",""
14629804,6,"Chakko K","Jacob","CK",""
15014972,1,"Michael L","Clawson","ML","United States Department of Agriculture, Agricultural Research Service, U.S. Meat Animal Research Center (MARC), Spur 18D, P.O. Box 166, Clay Center, Nebraska 68933, USA. clawson@email.marc.usda.gov"
15014972,2,"Michael P","Heaton","MP",""
15014972,3,"Carol G","Chitko-McKown","CG",""
15014972,4,"James M","Fox","JM",""
15014972,5,"Timothy P L","Smith","TP",""
15014972,6,"Warren M","Snelling","WM",""
15014972,7,"John W","Keele","JW",""
15014972,8,"William W","Laegreid","WW",""
15185841,1,"W J","Zhuang","WJ","Department of Biology & Chemistry, City University of Hong Kong, Kowloon, Hong Kong, China."
15185841,2,"C C","Fong","CC",""
15185841,3,"J","Cao","J",""
15185841,4,"L","Ao","L",""
15185841,5,"C H","Leung","CH",""
15185841,6,"H Y","Cheung","HY",""
15185841,7,"P G","Xiao","PG",""
15185841,8,"W F","Fong","WF",""
15185841,9,"M S","Yang","MS",""
15194307,1,"A C Carvalho","Matos","AC","Division of Renal Transplantation, Albert Einstein Jewish Hospital, Sao Paulo, SP, Brazil. accmatos@einstein.br"
15194307,2,"M S","Durão","MS",""
15194307,3,"A","Pacheco-Silva","A",""
15259364,1,"Xunwei","Wu","X","Department of Occupational Health, School of Public Health, Fudan University, 200032 Shanghai, China."
15259364,2,"Suhua","Su","S",""
15259364,3,"Rihong","Zhai","R",""
15259364,4,"Kekuan","Chen","K",""
15259364,5,"Taiyi","Jin","T",""
15259364,6,"Bo","Huang","B",""
15259364,7,"Yuanfen","Zhou","Y",""
15259364,8,"Xianmin","Ge","X",""
15259364,9,"Guoming","Wei","G",""
15259364,10,"Ruiqing","Liao","R",""
15386370,1,"R","García-Sanz","R","Servicio de Hematología, Hospital Universitario de, Salamanca, Spain."
15386370,2,"M I","González-Fraile","MI",""
15386370,3,"G","Mateo","G",""
15386370,4,"J M","Hernández","JM",""
15386370,5,"M C","López-Berges","MC",""
15386370,6,"N","de las Heras","N",""
15386370,7,"J","Fernández-Calvo","J",""
15386370,8,"F","Ortega","F",""
15386370,9,"J A","Portero","JA",""
15386370,10,"A","Bárez","A",""
15386370,11,"J","Galende","J",""
15386370,12,"A","Orfão","A",""
15386370,13,"J F","San Miguel","JF",""
15519565,1,"Florian","Haller","F","Department of Pathology, Georg-August University of Göttingen, D-37075 Göttingen, Germany. florian.haller@stud.uni-goettingen.de"
15519565,2,"Bettina","Kulle","B",""
15519565,3,"Stefanie","Schwager","S",""
15519565,4,"Bastian","Gunawan","B",""
15519565,5,"Anja","von Heydebreck","A",""
15519565,6,"Holger","Sültmann","H",""
15519565,7,"László","Füzesi","L",""
15688855,1,"Taiyi","Jin","T","Department of Occupational Health, School of Public Health, Fudan University 200032 Shanghai, PR China."
15688855,2,"Qinghu","Kong","Q",""
15688855,3,"Tingting","Ye","T",""
15688855,4,"Xunwei","Wu","X",""
15688855,5,"Gunnar F","Nordberg","GF",""
15688857,1,"Taiyi","Jin","T","Department of Occupational Health, School of Public Health, Fudan University, Shanghai, 200032 Shanghai, PR China."
15688857,2,"Xunwei","Wu","X",""
15688857,3,"Yinqi","Tang","Y",""
15688857,4,"Monica","Nordberg","M",""
15688857,5,"Alfred","Bernard","A",""
15688857,6,"Tingting","Ye","T",""
15688857,7,"Qinhu","Kong","Q",""
15688857,8,"Nils-Göran","Lundström","NG",""
15688857,9,"Gunnar F","Nordberg","GF",""
15720714,1,"Lisa M","Maier","LM","Juvenile Diabetes Research Foundation/Wellcome Trust Diabetes and Inflammation Laboratory, Cambridge Institute for Medical Research, University of Cambridge, Wellcome Trust/MRC Building, Hills Road, Cambridge, UK. lisa.maier@cimr.cam.ac.uk"
15720714,2,"Deborah J","Smyth","DJ",""
15720714,3,"Adrian","Vella","A",""
